Category,net_type,batch_size,rd,Image_ROCAUC,Patch_ROCAUC,F1,BaseLine,InferenceTime(s)
pcb3,eff,1,100,0.7333663366336634,0.9409191486032814,0.7107438016528925,0.5024875621890548,0.1752410302707805
pipe_fryum,eff,1,100,0.76,0.9776098071707824,0.6067415730337079,0.3333333333333333,0.1714281272888183
pcb4,eff,1,100,0.839009900990099,0.9422725284061958,0.7830188679245282,0.5024875621890548,0.184667901613226
pcb2,eff,1,100,0.6718999999999999,0.9511584494912944,0.6931407942238268,0.5,0.1671375131607055
candle,eff,1,100,0.8431,0.9709097752028424,0.8035714285714286,0.5,0.1639647996425628
fryum,eff,1,100,0.8726,0.8978371241295838,0.7567567567567568,0.3333333333333333,0.1729481267929077
macaroni2,eff,1,100,0.5905,0.7385839403253343,0.6959706959706959,0.5,0.1656883907318115
capsules,eff,1,100,0.5089999999999999,0.7614624374065837,0.5462962962962962,0.375,0.1679088070988655
pcb1,eff,1,100,0.9222,0.9709768930168368,0.8541666666666666,0.5,0.229654324054718
chewinggum,eff,1,100,0.8284,0.9812959785206756,0.6785714285714285,0.3333333333333333,0.1683350992202758
macaroni1,eff,1,100,0.7363999999999999,0.91891417711951,0.704,0.5,0.1713483107089996
cashew,eff,1,100,0.8130000000000001,0.9727497547965129,0.6545454545454547,0.3333333333333333,0.16693365414937336
