Category,net_type,batch_size,rd,Image_ROCAUC,Patch_ROCAUC,F1,BaseLine,InferenceTime(s)
pcb3,res,1,100,0.8206930693069308,0.9355685936842963,0.78125,0.5024875621890548,0.0893321582927039
pipe_fryum,res,1,100,0.7799999999999999,0.9828257284571226,0.6548672566371682,0.3333333333333333,0.0899845854441324
pcb4,res,1,100,0.9223762376237624,0.912965675104698,0.8479262672811061,0.5024875621890548,0.0903863681489555
pcb2,res,1,100,0.8547,0.9053044324264348,0.8041237113402062,0.5,0.0891678404808044
candle,res,1,100,0.8976000000000001,0.9381884371375442,0.8372093023255814,0.5,0.0894376909732818
fryum,res,1,100,0.874,0.9420000563047164,0.7872340425531915,0.3333333333333333,0.0894755681355794
macaroni2,res,1,100,0.6639000000000002,0.8144927638266158,0.6717557251908396,0.5,0.0890683436393737
capsules,res,1,100,0.663,0.8292459096284406,0.5925925925925926,0.375,0.0876262992620468
pcb1,res,1,100,0.8511,0.9744301613760844,0.7812500000000001,0.5,0.0897562849521637
chewinggum,res,1,100,0.919,0.9519059019715576,0.8000000000000002,0.3333333333333333,0.088952898979187
macaroni1,res,1,100,0.6867000000000001,0.88149102770742,0.6923076923076923,0.5,0.0921225500106811
cashew,res,1,100,0.8936,0.9735293820601486,0.7766990291262137,0.3333333333333333,0.08918002764383952
