Category,net_type,batch_size,rd,Image_ROCAUC,Patch_ROCAUC,F1,BaseLine,InferenceTime(s)
bottle,resnet18,32,100,0.0047619047619047,0.969058777336415,0.3883495145631068,0.2409638554216867,0
grid,resnet18,32,100,0.2230576441102756,0.9302794352635072,0.4242424242424242,0.2692307692307692,0
bottle,resnet18,32,100,0.0023809523809523,0.9692932198823004,0.3883495145631068,0.2409638554216867,0
cable,resnet18,32,100,0.0961394302848575,0.9479701276123602,0.5576923076923077,0.3866666666666666,0
capsule,resnet18,32,100,0.1942560829676904,0.9685346416019652,0.2967741935483871,0.1742424242424242,0
carpet,resnet18,32,100,0.0156500802568218,0.9805063450349576,0.3862068965517241,0.2393162393162393,0
grid,resnet18,32,100,0.1687552213868003,0.934519565833004,0.4242424242424242,0.2692307692307692,0
hazelnut,resnet18,32,100,0.1614285714285714,0.9646527264690368,0.5333333333333333,0.3636363636363636,0
leather,resnet18,32,100,0.006453804347826,0.9845393884454202,0.4102564102564102,0.2580645161290322,0
metal_nut,resnet18,32,100,0.0474095796676441,0.9271795626824,0.3211678832116788,0.1913043478260869,0
pill,resnet18,32,100,0.1625750136388434,0.9479003339078452,0.2694300518134714,0.155688622754491,0
screw,resnet18,32,100,0.3806107808977249,0.9450403198227684,0.41,0.25625,0
tile,resnet18,32,100,0.0328282828282828,0.9029547144480397,0.44,0.282051282051282,0
toothbrush,resnet18,32,100,0.0249999999999999,0.97836600711908,0.4444444444444445,0.2857142857142857,0
transistor,resnet18,32,100,0.105,0.9506685327636084,0.7499999999999999,0.6,0
wood,resnet18,32,100,0.0280701754385964,0.9189575463657622,0.3877551020408163,0.240506329113924,0
zipper,resnet18,32,100,0.2452731092436974,0.9587346835486764,0.3497267759562841,0.2119205298013245,0
bottle,resnet18,32,100,0.0023809523809523,0.9692932198823004,0.3883495145631068,0.2409638554216867,0
bottle,resnet18,32,100,0.0023809523809523,0.9692932198823004,0.3883495145631068,0.2409638554216867,0
bottle,resnet18,32,100,0.0023809523809523,0.9692932198823004,0.3883495145631068,0.2409638554216867,0
bottle,resnet18,32,100,0.0023809523809523,0.9692932198823004,0.3883495145631068,0.2409638554216867,0
bottle,resnet18,32,100,0.0039682539682539,0.9717029004051452,0.3883495145631068,0.2409638554216867,0
bottle,resnet18,32,100,0.0039682539682539,0.9717029004051452,0.3883495145631068,0.2409638554216867,0
bottle,resnet18,32,100,0.0039682539682539,0.9717029004051452,0.3883495145631068,0.2409638554216867,0
bottle,resnet18,32,100,0.3333333333333333,0.9717029004051452,0.3883495145631068,0.2409638554216867,0
bottle,resnet18,32,100,0.3333333333333333,0.9717029004051452,0.3883495145631068,0.2409638554216867,0
bottle,resnet18,32,100,0.025,0.9717029004051452,0.3883495145631068,0.2409638554216867,0
bottle,resnet18,32,100,0.025,0.9717029004051452,0.3883495145631068,0.2409638554216867,0
bottle,resnet18,32,100,0.975,0.9717029004051452,0.9921259842519684,0.7590361445783133,0
bottle,resnet18,32,100,0.975,0.9717029004051452,0.9921259842519684,0.7590361445783133,0
cable,resnet18,32,100,0.7432533733133434,0.9528287691708008,0.8439306358381502,0.6133333333333333,0
capsule,resnet18,32,100,0.5217391304347826,0.9631283662210168,0.9427312775330396,0.8257575757575758,0
carpet,resnet18,32,100,0.6729534510433386,0.9815127310979612,0.96,0.7606837606837606,0
grid,resnet18,32,100,0.5626566416040101,0.9265964149047388,0.875,0.7307692307692307,0
hazelnut,resnet18,32,100,0.5,0.968969533392705,0.8951048951048951,0.6363636363636364,0
leather,resnet18,32,100,0.9157608695652174,0.983525787369436,0.9625668449197862,0.7419354838709677,0
metal_nut,resnet18,32,100,0.5,0.9313434546170012,0.9319371727748692,0.808695652173913,0
pill,resnet18,32,100,0.5,0.9318719491352097,0.9169435215946844,0.844311377245509,0
screw,resnet18,32,100,0.5,0.9454807274992814,0.8581818181818182,0.74375,0
tile,resnet18,32,100,0.8436147186147185,0.8864945483047163,0.9142857142857144,0.717948717948718,0
toothbrush,resnet18,32,100,0.5,0.9818858297320896,0.9666666666666668,0.7142857142857143,0
transistor,resnet18,32,100,0.5083333333333333,0.947246709182612,0.8,0.4,0
wood,resnet18,32,100,0.8421052631578947,0.9194292401359938,0.96,0.759493670886076,0
zipper,resnet18,32,100,0.6972163865546219,0.9609777971407626,0.9224806201550387,0.7880794701986755,0
