Category,net_type,batch_size,rd,Image_ROCAUC,Patch_ROCAUC,F1,BaseLine,InferenceTime(s)
bottle,res,1,100,0.953968253968254,0.8359024048726496,0.8095238095238095,0.2409638554216867,0.2139913260218608
cable,res,1,100,0.787856071964018,0.7647646206080649,0.6829268292682927,0.3866666666666666,0.2116334660847982
capsule,res,1,100,0.7794176306342242,0.9236627673801154,0.5454545454545454,0.1742424242424242,0.2123378804235747
carpet,res,1,100,0.8715890850722312,0.7906737358753574,0.6933333333333335,0.2393162393162393,0.2133088539808224
grid,res,1,100,0.592314118629908,0.5616470099028681,0.4761904761904761,0.2692307692307692,0.2143650268897032
hazelnut,res,1,100,0.822857142857143,0.9118160414638178,0.6981132075471698,0.3636363636363636,0.2149332263252951
leather,res,1,100,0.9320652173913044,0.7634674299510456,0.7654320987654322,0.2580645161290322,0.2132538691643745
metal_nut,res,1,100,0.7776148582600195,0.9122916039149288,0.5405405405405405,0.1913043478260869,0.2138249480206033
pill,res,1,100,0.7738679759956356,0.8658988785859818,0.5,0.155688622754491,0.2139261796802817
screw,res,1,100,0.432465669194507,0.7033909342194085,0.425531914893617,0.25625,0.214653468132019
tile,res,1,100,0.9628427128427128,0.7561770597355648,0.8695652173913043,0.282051282051282,0.2134795983632405
toothbrush,res,1,100,0.9027777777777778,0.9224716129571148,0.7692307692307692,0.2857142857142857,0.208426833152771
transistor,res,1,100,0.8308333333333333,0.9524451875915386,0.8244274809160305,0.6,0.2161715102195739
wood,res,1,100,0.9271929824561403,0.8268795986550393,0.835820895522388,0.3877551020408163,0.2147869698855341
zipper,res,1,100,0.9503676470588236,0.8018142936611213,0.8358208955223881,0.2119205298013245,0.21548964961475095
