Category,net_type,batch_size,rd,Image_ROCAUC,Patch_ROCAUC,F1,BaseLine,InferenceTime(s)
pcb3,res,1,100,0.797029702970297,0.8477297542473217,0.7661691542288558,0.5024875621890548,0.2117901453331335
pipe_fryum,res,1,100,0.7707999999999999,0.9554915705070326,0.6193548387096774,0.3333333333333333,0.2108976475397745
pcb4,res,1,100,0.9087128712871286,0.8501544523837106,0.8324324324324324,0.5024875621890548,0.2164211344363084
pcb2,res,1,100,0.8379000000000001,0.8350160497422192,0.7668393782383419,0.5,0.2191227102279663
candle,res,1,100,0.8896999999999999,0.8881104441635925,0.8310502283105021,0.5,0.2186164760589599
fryum,res,1,100,0.8448,0.8973752354183998,0.7415730337078651,0.3333333333333333,0.2176020002365112
macaroni2,res,1,100,0.6329,0.691942130415034,0.6736842105263159,0.5,0.2165287101268768
capsules,res,1,100,0.6328333333333332,0.6542143795663425,0.5945945945945945,0.375,0.2161897629499435
pcb1,res,1,100,0.8371999999999999,0.8805900852615831,0.7511737089201878,0.5,0.2157210290431976
chewinggum,res,1,100,0.916,0.869969363585678,0.8076923076923077,0.3333333333333333,0.2154311529795328
macaroni1,res,1,100,0.7381000000000002,0.8074374280151668,0.7305936073059361,0.5,0.2161852300167083
cashew,res,1,100,0.8916000000000001,0.9615360951193008,0.7563025210084033,0.3333333333333333,0.23184005896250406
