Category,net_type,batch_size,rd,Image_ROCAUC,Patch_ROCAUC,F1,BaseLine,InferenceTime(s)
bottle,res,1,100,0.9817460317460316,0.9591124539521292,0.9090909090909092,0.2409638554216867,0.1002115054302905
cable,res,1,100,0.8414542728635682,0.925698547216402,0.7592592592592593,0.3866666666666666,0.093662405014038
capsule,res,1,100,0.8001595532508975,0.9665551542468052,0.5142857142857143,0.1742424242424242,0.0934052647966327
carpet,res,1,100,0.7825040128410915,0.9583418373475951,0.56,0.2393162393162393,0.0916790269378922
grid,res,1,100,0.6449456975772765,0.7963778819030526,0.5151515151515151,0.2692307692307692,0.0928021424855941
hazelnut,res,1,100,0.8435714285714286,0.947780923320172,0.7333333333333334,0.3636363636363636,0.0905784650282426
leather,res,1,100,0.9222146739130436,0.9662435003408084,0.7560975609756097,0.2580645161290322,0.0883174577066975
metal_nut,res,1,100,0.813782991202346,0.9396124914064736,0.5277777777777778,0.1913043478260869,0.0897028964498768
pill,res,1,100,0.8439716312056738,0.9504800229521212,0.5925925925925927,0.155688622754491,0.0933775644816324
screw,res,1,100,0.5097356015576964,0.8892714416234297,0.425531914893617,0.25625,0.0962518006563186
tile,res,1,100,0.9675324675324676,0.8811080220038175,0.8923076923076922,0.282051282051282,0.0995944789332202
toothbrush,res,1,100,0.9222222222222222,0.96981759526736,0.7857142857142857,0.2857142857142857,0.089161992073059
transistor,res,1,100,0.87,0.9644432099806252,0.8467153284671532,0.6,0.0924266910552978
wood,res,1,100,0.981578947368421,0.8883148511473392,0.9156626506024096,0.3877551020408163,0.0885023584171217
zipper,res,1,100,0.9690126050420168,0.9451026356382133,0.8888888888888888,0.2119205298013245,0.08782910669086785
